Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Venture Round - Saturn Technologies,https://www.crunchbase.com/funding_round/saturn-technologies-series-unknown--c886cae8,"01 Advisors, Ashton Kutcher, Bezos Expeditions, Coatue, Coriolis Ventures, Dara Khosrowshahi, Dick Costolo, Dylan Field, Elad Gil, General Catalyst, Hadi Partovi, Insight Partners, Inspired Capital Partners, Jerry Murdock, Marc Benioff, Mike Vernal, Neo, Nikita Bier, Robert Downey Jr., Sound Ventures, SV Angel, TQ Ventures, Vivi Nevo, WndrCo",Saturn Technologies,https://www.crunchbase.com/organization/saturn-technologies,Venture - Series Unknown,44000000,USD,44000000,2021-08-10,"Coatue, General Catalyst, Insight Partners",,,,44000000,USD,44000000
Series B - Knowde,https://www.crunchbase.com/funding_round/knowde-series-b--a51d97f8,"Alumni Ventures, Bee Partners, Cantos, Coatue, K5 Global, MANTIS Venture Capital, Refactor, Sequoia Capital, Sound Ventures, The Chainsmokers, TQ Ventures",Knowde,https://www.crunchbase.com/organization/knowde,Series B,72000000,USD,72000000,2021-08-05,Coatue,,,,150800000,USD,150800000
Series E - BharatPe,https://www.crunchbase.com/funding_round/bharatpe-series-e--741f7f3f,"Amplo, Coatue, Dragoneer Investment Group, Insight Partners, Peak XV Partners, Ribbit Capital, Steadfast Capital Management, Tiger Global Management",BharatPe,https://www.crunchbase.com/organization/bharatpe,Series E,350000000,USD,350000000,2021-08-04,Tiger Global Management,2500000000,USD,2500000000,790692341,USD,790692341
Post-IPO Equity - CCC Intelligent Solutions,https://www.crunchbase.com/funding_round/ccc-information-services-post-ipo-equity--c7a364e4,"Altimeter Capital, Coatue, D1 Capital Partners, Franklin Templeton, Janus Henderson Investors, Maverick Capital, MFS Investment Management, Sunley House Capital Management, T. Rowe Price",CCC Intelligent Solutions,https://www.crunchbase.com/organization/ccc-information-services,Post-IPO Equity,150000000,USD,150000000,2021-08-02,,,,,1323560000,USD,1323560000
Series B - Mercury,https://www.crunchbase.com/funding_round/mercury-technologies-series-b--e733323b,"Andreessen Horowitz, Angel Collective Opportunity Fund, Arman Assadi, Christian Edler, Coatue, CRV, Sahin Boydas, Sapphire Ventures, Terrence Rohan, Toy Ventures, Vetamer",Mercury,https://www.crunchbase.com/organization/mercury-technologies,Series B,120000000,USD,120000000,2021-07-29,Coatue,1500000000,USD,1500000000,152214480,USD,152214480
Series D - Fireblocks,https://www.crunchbase.com/funding_round/fireblocks-series-d--1b94d5a5,"BNY, Coatue, DRW Venture Capital, SCB 10X, Sequoia Capital, Spark Capital, Stripes, SVB Capital",Fireblocks,https://www.crunchbase.com/organization/fireblocks,Series D,310000000,USD,310000000,2021-07-27,"Coatue, DRW Venture Capital, SCB 10X, Sequoia Capital, Spark Capital, Stripes",1890000000,USD,1890000000,1039000000,USD,1039000000
Series B - Teamflow,https://www.crunchbase.com/funding_round/teamflow-97b7-series-b--9b18d953,"Battery Ventures, Coatue, Menlo Ventures",Teamflow,https://www.crunchbase.com/organization/teamflow-97b7,Series B,35000000,USD,35000000,2021-07-26,Coatue,,,,49900000,USD,49900000
Private Equity Round - Rivian,https://www.crunchbase.com/funding_round/rivian-automotive-private-equity--d0092e65,"Climate Pledge Fund, Coatue, D1 Capital Partners, Dragoneer Investment Group, Fidelity, Ford Motor, T. Rowe Price, Third Point Ventures",Rivian,https://www.crunchbase.com/organization/rivian-automotive,Private Equity,2500000000,USD,2500000000,2021-07-23,"Climate Pledge Fund, D1 Capital Partners, Ford Motor, T. Rowe Price",,,,14328250000,USD,14328250000
Series A - LiveControl,https://www.crunchbase.com/funding_round/livecontrol-8c26-series-a--a73f5a9a,"BoxGroup, Coatue, First Round Capital, Susa Ventures, TriplePoint Capital",LiveControl,https://www.crunchbase.com/organization/livecontrol-8c26,Series A,30000000,USD,30000000,2021-07-21,Coatue,,,,33200000,USD,33200000
Series B - Choco,https://www.crunchbase.com/funding_round/choco-series-b--bc9da4ca,"Atlantic Labs, Bessemer Venture Partners, Coatue, Insight Partners, Kevin Worner, Left Lane Capital, Visionaries Club",Choco,https://www.crunchbase.com/organization/choco,Series B,100000000,USD,100000000,2021-07-20,Left Lane Capital,500000000,USD,500000000,336269652,USD,336269652
