Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series A - Universal Hydrogen,https://www.crunchbase.com/funding_round/universal-hydrogen-series-a--05b15600,"Airbus Ventures, Coatue, Future Shape, Global Founders Capital, JetBlue Ventures, Playground Global, Plug Power, Sojitz, Toyota Ventures",Universal Hydrogen,https://www.crunchbase.com/organization/universal-hydrogen,Series A,20500000,USD,20500000,2021-04-22,Playground Global,,,,82500000,USD,82500000
Seed Round - Causal,https://www.crunchbase.com/funding_round/causal-4a43-seed--063479f0,"Accel, Bossanova Investimentos, Coatue, Founders, Inc., Naval Ravikant, Passion Capital, Sahil Lavingia, Scott Belsky, Varadh Jain, Verissimo Ventures",Causal,https://www.crunchbase.com/organization/causal-4a43,Seed,4200000,USD,4200000,2021-04-21,Accel,,,,23985003,USD,23985003
Series D - Alan,https://www.crunchbase.com/funding_round/alan-3-series-d--5873fbda,"Coatue, Dragoneer Investment Group, Exor Ventures, H14, Index Ventures, Ribbit Capital, Temasek Holdings",Alan,https://www.crunchbase.com/organization/alan-3,Series D,185000000,EUR,222790639,2021-04-19,Coatue,1250000000,EUR,1505342158,666000000,EUR,751564900
Series B - Fiture,https://www.crunchbase.com/funding_round/fiture-chengdu-series-b--59529edc,"All-Stars Investment, BA Capital, BAI capital, C Ventures, Coatue, CPE, Cygnus Equity, DST Global, GSR Ventures, HongShan, Legend Capital, NIO Capital, Tencent",Fiture,https://www.crunchbase.com/organization/fiture-chengdu,Series B,300000000,USD,300000000,2021-04-15,"All-Stars Investment, BAI capital, Coatue, DST Global, Legend Capital",700000000,USD,700000000,392250000,USD,392250000
Series C - Outschool,https://www.crunchbase.com/funding_round/outschool-series-c--0a114ac5,"Coatue, Lightspeed Venture Partners, Reach Capital, Scale-Up, Tiger Global Management, Union Square Ventures",Outschool,https://www.crunchbase.com/organization/outschool,Series C,75000000,USD,75000000,2021-04-14,"Coatue, Tiger Global Management",1225000000,USD,1225000000,240220000,USD,240220000
Seed Round - Sundayapp,https://www.crunchbase.com/funding_round/sundayapp-seed--2f0b70ab,"Coatue, French Partners, New Wave (VC)",Sundayapp,https://www.crunchbase.com/organization/sundayapp,Seed,24000000,USD,24000000,2021-04-14,Coatue,116000000,USD,116000000,124000000,USD,124000000
Venture Round - dcbel,https://www.crunchbase.com/funding_round/dcbel-series-unknown--e0f70fd4,"Coatue, Narrative Fund, Real Ventures, Western Technology Investment",dcbel,https://www.crunchbase.com/organization/dcbel,Venture - Series Unknown,40000000,USD,40000000,2021-04-14,Coatue,,,,90000000,USD,90000000
Series E - Scale AI,https://www.crunchbase.com/funding_round/scale-2-series-e--67c61974,"Coatue, Dragoneer Investment Group, Durable Capital Partners, Founders Fund, Greenoaks, Human Capital, Index Ventures, Junipero Capital, Tiger Global Management, Wellington Management, Y Combinator",Scale AI,https://www.crunchbase.com/organization/scale-2,Series E,325000000,USD,325000000,2021-04-13,"Dragoneer Investment Group, Greenoaks, Tiger Global Management",6975000000,USD,6975000000,1602620000,USD,1602620000
Series B - Ramp,https://www.crunchbase.com/funding_round/ramp-financial-series-b--edccde11,"BoxGroup, Bradley Horowitz, Coatue, Contrary, D1 Capital Partners, Founders Fund, GE32 Capital, Goldman Sachs, Guillaume ""G"" Cabane, Neo, Redpoint, Spark Capital, Stripe, Thrive Capital",Ramp,https://www.crunchbase.com/organization/ramp-financial,Series B,115000000,USD,115000000,2021-04-08,"D1 Capital Partners, Stripe",1485000000,USD,1485000000,1817000000,USD,1817000000
Series D - CRED,https://www.crunchbase.com/funding_round/cred-6ab0-series-d--e406d1f2,"Alpha Wave Global, Coatue, Dragoneer Investment Group, DST Global, Greenoaks, Insight Partners, RTP Global, Sofina, Tiger Global Management",CRED,https://www.crunchbase.com/organization/cred-6ab0,Series D,15780000000,INR,214749245,2021-04-06,"Alpha Wave Global, Coatue",1985000000,USD,1985000000,801492149,USD,801492149
Series D - Dingdong Maicai,https://www.crunchbase.com/funding_round/dingdong-maicai-series-d--208da3b7,"3W Fund Management, Aspex Management, Cambium Grove Capital, Capital Today, CMC Capital Group, Coatue, Cygnus Equity, DST Global, General Atlantic, Hony Capital, MassAve Global, Ocean Link, Sequoia Capital, Tiger Global Management",Dingdong Maicai,https://www.crunchbase.com/organization/dingdong-maicai,Series D,700000000,USD,700000000,2021-04-06,"Coatue, DST Global",,,,1330000000,USD,1330000000
Seed Round - Batch,https://www.crunchbase.com/funding_round/batch-008d-seed--8ba2b613,"Coatue, Seven Seven Six, Shrug Capital, The Chainsmokers, Weekend Fund",Batch,https://www.crunchbase.com/organization/batch-008d,Seed,5000000,USD,5000000,2021-04-01,"Coatue, Seven Seven Six",,,,5000000,USD,5000000
Series C - Dapper Labs,https://www.crunchbase.com/funding_round/dapper-labs-series-c--6ec8342f,"AG Ventures, Alex Caruso, Andre Drummond, Andre Iguodala, Andreessen Horowitz, Ashton Kutcher, Bolt Ventures, Coatue, Dee Ford, Devin McCourty, Dima Shvets, DK Metcalf, Domantas Sabonis, Dreamers VC, Jason McCourty, JaVale McGee, Jordan Armand Matthews, Josh Hart, Ken Crawley, Kevin Durant, Khris Middleton, Klay Thompson, Kyle Lowry, Malcolm Jenkins, Michael Carter-Williams, Michael Jordan, Nikola Vucevic, Nolan Arenado, Operator Partners, Page One Ventures, Rashaun Williams, Richard Seymour, Rodney McLeod, Roosh Ventures, Shawn Mendes, Shay Mitchell, Snow K., Sound Ventures, Spencer Dinwiddie, Stefon Diggs, Sterling.VC, TCG, TGM ventures, Thaddeus Young, Thomas Antonio Davis, Timothy Lamar Beckham, Trent Williams, True Capital Management, Tyrod Taylor, U.S. Venture Partners, Udonis Haslem, Venrock, Version One Ventures, Vivek Ranadive, Will Smith",Dapper Labs,https://www.crunchbase.com/organization/dapper-labs,Series C,305000000,USD,305000000,2021-03-30,Coatue,2295000000,USD,2295000000,612507850,USD,612507850
Series B - GoStudent,https://www.crunchbase.com/funding_round/gostudent-series-b--4b9a8b58,"Coatue, DN Capital, Left Lane Capital",GoStudent,https://www.crunchbase.com/organization/gostudent,Series B,70000000,EUR,82062055,2021-03-30,Coatue,,,,781338907,USD,781338907
Series B - Gorillas,https://www.crunchbase.com/funding_round/gorillas-series-b--2a802c44,"Coatue, Dragoneer Investment Group, DST Global, Fifth Wall, FoodLabs, Greenoaks, Tencent",Gorillas,https://www.crunchbase.com/organization/gorillas,Series B,290000000,USD,290000000,2021-03-25,"Coatue, DST Global, Tencent",710000000,USD,710000000,1335415310,USD,1335415310
Series E - Attentive,https://www.crunchbase.com/funding_round/attentive-series-e--da0b831c,"Base10 Partners, Coatue, D1 Capital Partners, Gutbrain Ventures, IVP, TCV, Tiger Global Management",Attentive,https://www.crunchbase.com/organization/attentive,Series E,470000000,USD,470000000,2021-03-24,Coatue,6530000000,USD,6530000000,863000000,USD,863000000
Series B - Linktree,https://www.crunchbase.com/funding_round/linktree-series-b--f2f30b62,"Airtree Ventures, Coatue, Index Ventures, Insight Partners, Next Play Ventures",Linktree,https://www.crunchbase.com/organization/linktree,Series B,45000000,USD,45000000,2021-03-24,"Coatue, Index Ventures",,,,167354249,USD,167354249
Series D - Side,https://www.crunchbase.com/funding_round/side-5e5b-series-d--d69dd2d7,"Coatue, Matrix, Sapphire Ventures, Trinity Ventures",Side,https://www.crunchbase.com/organization/side-5e5b,Series D,150000000,USD,150000000,2021-03-19,Coatue,850000000,USD,850000000,263500000,USD,263500000
Series C - Fireblocks,https://www.crunchbase.com/funding_round/fireblocks-series-c--6b203207,"BNY, Buck Stash, Coatue, Cyberstarts, Galaxy Digital, Paradigm, Ribbit Capital, Silicon Valley Bank, Stripes, Swisscom Ventures, Tenaya Capital",Fireblocks,https://www.crunchbase.com/organization/fireblocks,Series C,133000000,USD,133000000,2021-03-18,"Coatue, Ribbit Capital, Stripes",767000000,USD,767000000,1039000000,USD,1039000000
Series E - Snyk,https://www.crunchbase.com/funding_round/snyk-series-e--4b2cb531,"Accel, Addition, Alkeon Capital, Atlassian Ventures, BlackRock, boldstart ventures, Canaan Partners, Coatue, Franklin Templeton, Geodesic Capital, Google Ventures, Kevin Faridah, Salesforce Ventures, Sands Capital Ventures, Stripes, Temasek Holdings, Tiger Global Management",Snyk,https://www.crunchbase.com/organization/snyk,Series E,175000000,USD,175000000,2021-03-10,"Accel, Tiger Global Management",4525000000,USD,4525000000,1195500000,USD,1195500000
Series D - M1 Holdings,https://www.crunchbase.com/funding_round/m1-finance-series-d--0a8ba241,"Clocktower Technology Ventures, Coatue, Left Lane Capital",M1 Holdings,https://www.crunchbase.com/organization/m1-finance,Series D,75000000,USD,75000000,2021-03-09,Coatue,,,,323224883,USD,323224883
Series C - Hopin,https://www.crunchbase.com/funding_round/hopin-8ff6-series-c--cc55f942,"Andreessen Horowitz, Coatue, DFJ Growth, General Catalyst, IVP, Northzone, Salesforce Ventures, Tiger Global Management",Hopin,https://www.crunchbase.com/organization/hopin-8ff6,Series C,400000000,USD,400000000,2021-03-04,"Andreessen Horowitz, General Catalyst, IVP",5250000000,USD,5250000000,1021440519,USD,1021440519
Series D - Deliverr,https://www.crunchbase.com/funding_round/deliverr-series-d--862f62e9,"8VC, 9Yards Capital, Activant Capital, Coatue, GLP",Deliverr,https://www.crunchbase.com/organization/deliverr,Series D,135000000,USD,135000000,2021-03-03,Coatue,,,,490949991,USD,490949991
Private Equity Round - Uplight,https://www.crunchbase.com/funding_round/uplight-private-equity--a65086b7,"AES, Coatue, Huck Capital, Inclusive Capital Partners, Schneider Electric",Uplight,https://www.crunchbase.com/organization/uplight,Private Equity,,,,2021-03-03,"AES, Huck Capital, Schneider Electric",1500000000,USD,1500000000,,,
Series A - Orbit,https://www.crunchbase.com/funding_round/orbit-51e6-series-a--0b4604fd,"Andreessen Horowitz, Coatue, Harrison Metal, Heavybit",Orbit,https://www.crunchbase.com/organization/orbit-51e6,Series A,15000000,USD,15000000,2021-03-01,Coatue,,,,22741945,USD,22741945
Venture Round - SpaceX,https://www.crunchbase.com/funding_round/space-exploration-technologies-series-unknown--8e90783e,"Alexander Rugaev, AvoInvest, Coatue, D1 Capital Partners, Fidelity, K5 Global, Sequoia Capital, Valor Equity Partners",SpaceX,https://www.crunchbase.com/organization/space-exploration-technologies,Venture - Series Unknown,850000000,USD,850000000,2021-02-16,Sequoia Capital,73150000000,USD,73150000000,9779343846,USD,9779343846
Series D - BharatPe,https://www.crunchbase.com/funding_round/bharatpe-series-d--3025ec70,"Amplo, BEENEXT, Coatue, Insight Partners, Peak XV Partners, Ribbit Capital, Sigurd Venture, Steadview Capital",BharatPe,https://www.crunchbase.com/organization/bharatpe,Series D,108000000,USD,108000000,2021-02-11,Coatue,792000000,USD,792000000,790692341,USD,790692341
"Series A - Infinitus Systems, Inc.",https://www.crunchbase.com/funding_round/infinitusai-series-a--0bbb1c41,"Aparna Chennapragada, Coatue, Firebolt Ventures, Gokul Rajaram, Gradient, Ian Goodfellow, Kleiner Perkins, Qasar Younis, Quiet Capital, Tau Ventures","Infinitus Systems, Inc.",https://www.crunchbase.com/organization/infinitusai,Series A,21400000,USD,21400000,2021-02-05,"Coatue, Kleiner Perkins",,,,51400000,USD,51400000
Series F - UiPath,https://www.crunchbase.com/funding_round/uipath-series-f--abce5a5c,"Alkeon Capital, Altimeter Capital, Coatue, Dragoneer Investment Group, IVP, Sequoia Capital, T. Rowe Price, Tiger Global Management",UiPath,https://www.crunchbase.com/organization/uipath,Series F,750000000,USD,750000000,2021-02-01,"Alkeon Capital, Coatue",34250000000,USD,34250000000,1993025000,USD,1993025000
Series G - Databricks,https://www.crunchbase.com/funding_round/databricks-series-g--74244a6e,"Alkeon Capital, Amazon Web Services, Andreessen Horowitz, BlackRock, CapitalG, Coatue, CPP Investments, Discovery Capital, Dragoneer Investment Group, Fidelity, Founders Circle Capital, Franklin Templeton, Geodesic Capital, GIC, Green Bay Ventures, Greenoaks, Microsoft, New Enterprise Associates, Octahedron Capital, Salesforce Ventures, T. Rowe Price, Tiger Global Management, Whale Rock Capital Management",Databricks,https://www.crunchbase.com/organization/databricks,Series G,1000000000,USD,1000000000,2021-02-01,Franklin Templeton,27000000000,USD,27000000000,3997000000,USD,3997000000
Series B - Weights & Biases,https://www.crunchbase.com/funding_round/weights-biases-series-b--b8a04347,"Bloomberg Beta, Coatue, Insight Partners, Jeff Hammerbacher, Nat Friedman, Pieter Abbeel, Richard Socher, Tom Preston-Werner, Trinity Ventures",Weights & Biases,https://www.crunchbase.com/organization/weights-biases,Series B,45000000,USD,45000000,2021-02-01,Insight Partners,,,,250000000,USD,250000000
Seed Round - Guming,https://www.crunchbase.com/funding_round/guming-seed--51a8fac5,Coatue,Guming,https://www.crunchbase.com/organization/guming,Seed,,,,2021-01-28,,,,,,,
Series F - Sila,https://www.crunchbase.com/funding_round/sila-nanotechnologies-series-f--fcd23fa7,"8VC, Bessemer Venture Partners, Coatue, CPP Investments, Sutter Hill Ventures, T. Rowe Price",Sila,https://www.crunchbase.com/organization/sila-nanotechnologies,Series F,590000000,USD,590000000,2021-01-26,Coatue,2710000000,USD,2710000000,1355499609,USD,1355499609
Series E - Wolt,https://www.crunchbase.com/funding_round/wolt-series-e--a1e2772b,"83North, Coatue, DST Global, EQT, EQT Ventures, GS Growth, Highland Europe, ICONIQ Growth, Kohlberg Kravis Roberts, Prosus Ventures, Tiger Global Management, Vintage Investment Partners",Wolt,https://www.crunchbase.com/organization/wolt,Series E,530000000,USD,530000000,2021-01-25,ICONIQ Growth,,,,822523959,USD,822523959
Series C - Melio,https://www.crunchbase.com/funding_round/melio-0bc5-series-c--f1a01c0f,"Accel, Aleph, American Express Ventures, Bessemer Venture Partners, Capital One Ventures, Coatue, Corner Ventures, General Catalyst, Latitude, Salesforce Ventures",Melio,https://www.crunchbase.com/organization/melio-0bc5,Series C,110000000,USD,110000000,2021-01-25,Coatue,1190000000,USD,1190000000,504000000,USD,504000000
Series F - Rivian,https://www.crunchbase.com/funding_round/rivian-automotive-series-f--14d6360b,"Abdul Latif Jameel, BlackRock, Climate Pledge Fund, Coatue, D1 Capital Partners, Fidelity, Soros Fund Management, T. Rowe Price",Rivian,https://www.crunchbase.com/organization/rivian-automotive,Series F,2650000000,USD,2650000000,2021-01-19,T. Rowe Price,24950000000,USD,24950000000,14328250000,USD,14328250000
Series A - Flockjay,https://www.crunchbase.com/funding_round/flockjay-series-a--d3958f82,"Cleo Capital, Coatue, Gabrielle Union, Headline, Impact America Fund, Lightspeed Venture Partners, Salesforce Ventures",Flockjay,https://www.crunchbase.com/organization/flockjay,Series A,11000000,USD,11000000,2021-01-14,Headline,,,,14130000,USD,14130000
Series G - Blend,https://www.crunchbase.com/funding_round/blend-labs-series-g--07fc2d33,"Ballistic Ventures, Coatue, Tiger Global Management",Blend,https://www.crunchbase.com/organization/blend-labs,Series G,300000000,USD,300000000,2021-01-13,"Coatue, Tiger Global Management",3000000000,USD,3000000000,815000000,USD,815000000
Series D - Rapyd,https://www.crunchbase.com/funding_round/rapyd-series-d--ac7e6bc5,"Avid Ventures, Coatue, Durable Capital Partners, Entrée Capital, FJ Labs, General Catalyst, Latitude, LVL1 Group, Oak HC/FT, Spark Capital, Tal Capital, Tal Ventures, Target Global, Tiger Global Management",Rapyd,https://www.crunchbase.com/organization/rapyd,Series D,300000000,USD,300000000,2021-01-13,"Coatue, Tal Ventures",2200000000,USD,2200000000,770000000,USD,770000000
Series C - Checkout.com,https://www.crunchbase.com/funding_round/checkout-com-series-c--6609bed9,"Blossom Capital, Coatue, DST Global, Endeavor Catalyst, GIC, Greenoaks, Insight Partners, TeleSoft Partners, Tiger Global Management",Checkout.com,https://www.crunchbase.com/organization/checkout-com,Series C,450000000,USD,450000000,2021-01-11,Tiger Global Management,14555000000,USD,14555000000,1830000000,USD,1830000000
Series F - Keep,https://www.crunchbase.com/funding_round/keep-3-series-f--c6f82237,"5Y Capital, BAI capital, Coatue, GGV Capital, Hillhouse Investment, Jeneration Capital, SoftBank Vision Fund, Tencent",Keep,https://www.crunchbase.com/organization/keep-3,Series F,360000000,USD,360000000,2021-01-10,SoftBank Vision Fund,1640000000,USD,1640000000,614000000,USD,614000000
Series C - Lacework,https://www.crunchbase.com/funding_round/lacework-series-c--618840f9,"Altimeter Capital, Coatue, D1 Capital Partners, Dragoneer Investment Group, Ethos Family Office, Human Capital, Liberty Global Ventures, Snowflake Ventures, Sutter Hill Ventures, Tiger Global Management",Lacework,https://www.crunchbase.com/organization/lacework,Series C,525000000,USD,525000000,2021-01-07,"Altimeter Capital, Sutter Hill Ventures",475000000,USD,475000000,1899000000,USD,1899000000
Series D - Hinge Health,https://www.crunchbase.com/funding_round/hinge-health-series-d--5a48fc51,"11.2 Capital, Atomico, Bessemer Venture Partners, Coatue, Counterpart Advisors, Heuristic Capital, Insight Partners, Lead Edge Capital, Quadrille Capital, Tiger Global Management",Hinge Health,https://www.crunchbase.com/organization/hinge-health,Series D,300000000,USD,300000000,2021-01-07,"Coatue, Tiger Global Management",2700000000,USD,2700000000,826132500,USD,826132500
Series C - Starburst,https://www.crunchbase.com/funding_round/starburst-series-c--90ebbc6c,"Andreessen Horowitz, Coatue, Index Ventures, Salesforce Ventures",Starburst,https://www.crunchbase.com/organization/starburst,Series C,100000000,USD,100000000,2021-01-06,Andreessen Horowitz,1100000000,USD,1100000000,414000000,USD,414000000
Series D - Ghost Autonomy,https://www.crunchbase.com/funding_round/ghost-autonomy-series-d--1a87ca6c,"Coatue, Founders Fund, Sutter Hill Ventures",Ghost Autonomy,https://www.crunchbase.com/organization/ghost-autonomy,Series D,100099975,USD,100099975,2021-01-05,Sutter Hill Ventures,,,,217049969,USD,217049969
Series A - Geneva,https://www.crunchbase.com/funding_round/geneva-series-a--32983cd8,"Base Partners, Circle Ventures, Coatue, G9 Ventures, HOF Capital, Jack Conte, Red Sea Ventures",Geneva,https://www.crunchbase.com/organization/geneva,Series A,12000000,USD,12000000,2020-12-24,Coatue,,,,36190003,USD,36190003
Series B - Manner,https://www.crunchbase.com/funding_round/manner-737c-series-b--b08076cc,"Coatue, H. Capital",Manner,https://www.crunchbase.com/organization/manner-737c,Series B,,,,2020-12-23,"Coatue, H. Capital",,,,,,
Series C - OneTrust,https://www.crunchbase.com/funding_round/onetrust-series-c--351b1660,"Coatue, Insight Partners, TCV",OneTrust,https://www.crunchbase.com/organization/onetrust,Series C,300000000,USD,300000000,2020-12-21,TCV,4800000000,USD,4800000000,1120000000,USD,1120000000
Private Equity Round - Oscar Health,https://www.crunchbase.com/funding_round/oscar-private-equity--deb7a4eb,"Baillie Gifford, Coatue, Dragoneer Investment Group, Founders Fund, Khosla Ventures, Lakestar, Reinvent Capital, Tiger Global Management",Oscar Health,https://www.crunchbase.com/organization/oscar,Private Equity,140000000,USD,140000000,2020-12-17,Tiger Global Management,,,,1632500000,USD,1632500000
Series B - Ramp,https://www.crunchbase.com/funding_round/ramp-financial-series-b--2dc821da,"Coatue, D1 Capital Partners, Founders Fund, Spacecadet Ventures",Ramp,https://www.crunchbase.com/organization/ramp-financial,Series B,30000000,USD,30000000,2020-12-17,,,,,1817000000,USD,1817000000
Seed Round - Supabase,https://www.crunchbase.com/funding_round/supabase-seed--78758fbb,"Augusto ""Aghi"" Marietti, Christopher Golda, Coatue, Mozilla, Thorsten Schaeff, Wayfinder Ventures, Y Combinator, Zach Waterfield",Supabase,https://www.crunchbase.com/organization/supabase,Seed,6000000,USD,6000000,2020-12-15,Coatue,,,,196125000,USD,196125000
Series B - Step,https://www.crunchbase.com/funding_round/step-c04b-series-b--67c55c06,"Alex Rodriguez, Andre Iguodala, Charli D’Amelio, Coatue, Collaborative Fund, Crosslink Capital, Dreamers VC, Eli Manning, Firebolt Ventures, Josh Richards, Justin Timberlake, Kelvin Beachum Jr., Larry Fitzgerald, Stripe, The Chainsmokers",Step,https://www.crunchbase.com/organization/step-c04b,Series B,50000000,USD,50000000,2020-12-02,Coatue,235000000,USD,235000000,491300000,USD,491300000
Series C - CRED,https://www.crunchbase.com/funding_round/cred-6ab0-series-c--a779a943,"Coatue, DST Global, General Catalyst, Peak XV Partners, Ribbit Capital, Satyan Gajwani, Sofina, Tiger Global Management",CRED,https://www.crunchbase.com/organization/cred-6ab0,Series C,81000000,USD,81000000,2020-11-30,DST Global,725000000,USD,725000000,801492149,USD,801492149
Series B - Abacus.AI,https://www.crunchbase.com/funding_round/realityengines-series-b--f5302295,"Coatue, Decibel Partners, Index Ventures",Abacus.AI,https://www.crunchbase.com/organization/realityengines,Series B,22000000,USD,22000000,2020-11-18,Coatue,,,,90250000,USD,90250000
Series D - PingCAP,https://www.crunchbase.com/funding_round/pingcap-series-d--073036f7,"5Y Capital, Access Technology Ventures, Anatole, BAI capital, Chuxin Capital, Coatue, FutureX Capital, GGV Capital, Jeneration Capital, KUNLUN, Matrix Partners China, Trustbridge Partners, Yunqi Partners",PingCAP,https://www.crunchbase.com/organization/pingcap,Series D,270000000,USD,270000000,2020-11-17,"5Y Capital, Access Technology Ventures, Anatole, GGV Capital, Jeneration Capital",,,,641600000,USD,641600000
Series E - Cato Networks,https://www.crunchbase.com/funding_round/cato-networks-series-e--cca06b0a,"Acrew Capital, Aspect Ventures, Coatue, Greylock, Lightspeed Venture Partners, Shlomo Kramer, Singtel Innov8",Cato Networks,https://www.crunchbase.com/organization/cato-networks,Series E,130000000,USD,130000000,2020-11-17,Lightspeed Venture Partners,870000000,USD,870000000,770000000,USD,770000000
Series A - Gorillas,https://www.crunchbase.com/funding_round/gorillas-series-a--c44a94a2,"Christian Edler, Coatue, Discovery Ventures, FoodLabs",Gorillas,https://www.crunchbase.com/organization/gorillas,Series A,44000000,USD,44000000,2020-11-16,Coatue,,,,1335415310,USD,1335415310
Series C - Form Energy,https://www.crunchbase.com/funding_round/form-energy-series-c--b5a414a5,"Blindspot Ventures, Breakthrough Energy Ventures, Capricorn Investment Group, Coatue, Energy Impact Partners, Macquarie Capital, NGP Energy Technology Partners, Prelude Ventures, Temasek Holdings, The Engine",Form Energy,https://www.crunchbase.com/organization/form-energy,Series C,76000000,USD,76000000,2020-11-14,Coatue,,,,1517765461,USD,1517765461
Series B - Hopin,https://www.crunchbase.com/funding_round/hopin-8ff6-series-b--f5bb7273,"Accel, Coatue, DFJ Growth, IVP, Lars Fjeldsoe-Nielsen, Northzone, Octave, Salesforce Ventures, Seedcamp, Tiger Global Management",Hopin,https://www.crunchbase.com/organization/hopin-8ff6,Series B,125000000,USD,125000000,2020-11-10,"IVP, Tiger Global Management",2000000000,USD,2000000000,1021440519,USD,1021440519
Series A - Lunchbox Technologies,https://www.crunchbase.com/funding_round/lunchbox-technologies-series-a--7125fd9a,"645 Ventures, ANIMO Ventures, Bryan Ciambella, Coatue, Evolution VC Partners, Michael Vaughan, Primary Venture Partners, Reshma Saujani, Scott Belsky, Tom Colicchio",Lunchbox Technologies,https://www.crunchbase.com/organization/lunchbox-technologies,Series A,20000000,USD,20000000,2020-10-28,Coatue,,,,72059996,USD,72059996
Private Equity Round - Caris Life Sciences,https://www.crunchbase.com/funding_round/caris-life-sciences-private-equity--25383b00,"ClearBridge Investments, Coatue, First Light Asset Management, Highland Capital Management, LP., Millennium Management, Neuberger Berman, OrbiMed, Sixth Street, T. Rowe Price",Caris Life Sciences,https://www.crunchbase.com/organization/caris-life-sciences,Private Equity,235000000,USD,235000000,2020-10-27,"Coatue, Highland Capital Management, LP.",,,,1690000000,USD,1690000000
Seed Round - Haystack,https://www.crunchbase.com/funding_round/haystack-000f-seed--e34424b2,"basecase capital, BoxGroup, Coatue, Day One Ventures, Greycroft, SV Angel",Haystack,https://www.crunchbase.com/organization/haystack-000f,Seed,6200000,USD,6200000,2020-10-25,Coatue,,,,9200000,USD,9200000
Series D - Attentive,https://www.crunchbase.com/funding_round/attentive-series-d--1e947dbd,"Atomico, Bain Capital Ventures, Coatue, D1 Capital Partners, Frontline Ventures, High Alpha, IVP, NextView Ventures, Sapphire Ventures, Sequoia Capital, Sequoia Capital Global Equities, Sozo Ventures, Tiger Global Management, Wellington Management",Attentive,https://www.crunchbase.com/organization/attentive,Series D,230000000,USD,230000000,2020-09-23,Coatue,1970000000,USD,1970000000,863000000,USD,863000000
Series F - Chime,https://www.crunchbase.com/funding_round/chime-2-series-f--25c51e97,"Access Technology Ventures, Coatue, Dragoneer Investment Group, DST Global, General Atlantic, ICONIQ Capital, ICONIQ Growth, Light Street Capital, Tiger Global Management, Whale Rock Capital Management",Chime,https://www.crunchbase.com/organization/chime-2,Series F,533828122,USD,533828122,2020-09-18,,13967000000,USD,13967000000,2292603117,USD,2292603117
Series A - Quanto,https://www.crunchbase.com/funding_round/quanto-series-a--36132676,"Banco Bradesco, Coatue, Itau Unibanco, Kaszek",Quanto,https://www.crunchbase.com/organization/quanto,Series A,15000000,USD,15000000,2020-09-17,,,,,20000000,USD,20000000
Series D - Airtable,https://www.crunchbase.com/funding_round/airtable-series-d--9ebed4c0,"Benchmark, Caffeinated Capital, Coatue, CRV, D1 Capital Partners, Ethos VC, Inspired Capital Partners, Thrive Capital",Airtable,https://www.crunchbase.com/organization/airtable,Series D,185000000,USD,185000000,2020-09-14,Thrive Capital,2315000000,USD,2315000000,1352600000,USD,1352600000
Series C - Melio,https://www.crunchbase.com/funding_round/melio-0bc5-series-c--8997dd31,"Accel, Aleph, American Express Ventures, Bessemer Venture Partners, Coatue, Corner Ventures, General Catalyst, LocalGlobe",Melio,https://www.crunchbase.com/organization/melio-0bc5,Series C,80000000,USD,80000000,2020-09-08,"Coatue, General Catalyst",,,,504000000,USD,504000000
Series A - Lunchclub,https://www.crunchbase.com/funding_round/lunchclub-series-a--4e556a4c,"Coatue, G9 Ventures, Lightspeed Venture Partners, TQ Ventures",Lunchclub,https://www.crunchbase.com/organization/lunchclub,Series A,24200000,USD,24200000,2020-09-01,"Coatue, Lightspeed Venture Partners",75800000,USD,75800000,28804997,USD,28804997
Seed Round - PrizePool,https://www.crunchbase.com/funding_round/prizepool-seed--30335998,"Accomplice, Bling Capital, Coatue, SciFi VC, WiL (World Innovation Lab)",PrizePool,https://www.crunchbase.com/organization/prizepool,Seed,4300000,USD,4300000,2020-08-28,"Accomplice, Bling Capital, Coatue, SciFi VC",,,,18620000,USD,18620000
Seed Round - Stratify Technologies,https://www.crunchbase.com/funding_round/stratify-technologies-seed--36d139b8,"Balius Partners, Coatue, Madrona",Stratify Technologies,https://www.crunchbase.com/organization/stratify-technologies,Seed,4900000,USD,4900000,2020-08-25,Madrona,,,,4900000,USD,4900000
Series G - Impossible Foods,https://www.crunchbase.com/funding_round/impossible-foods-series-g--8ee3f57c,"Coatue, Empede Capital, Global Secure Invest, Mirae Asset, Temasek Holdings, XN",Impossible Foods,https://www.crunchbase.com/organization/impossible-foods,Series G,200000000,USD,200000000,2020-08-13,Coatue,,,,1896200000,USD,1896200000
Series D - Gong,https://www.crunchbase.com/funding_round/gong-io-series-d--d4cfc326,"Battery Ventures, Coatue, Index Ventures, NextWorld Capital, Norwest Venture Partners, Salesforce Ventures, Sequoia Capital, Thrive Capital, Wing Venture Capital",Gong,https://www.crunchbase.com/organization/gong-io,Series D,200000000,USD,200000000,2020-08-12,Coatue,2000000000,USD,2000000000,583000000,USD,583000000
