Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Series F - Impossible Foods,https://www.crunchbase.com/funding_round/impossible-foods-series-f--060134d5,"Ahmir Khalib Thompson, Alexis Ohanian, Anton Zaslavski, Bill Gates, Google Ventures, Horizons Ventures, Jaden Smith, Kal Penn, Katy Perry, Khosla Ventures, Kirk Cousins, London Impact Ventures, Mindy Kaling, Mirae Asset, Paul George, Philip Rosenthal, Ruby Rose Langenheim, Serena Williams, Shawn Carter, Temasek Holdings, Trevor Noah, Viking Global Investors, William Adams",Impossible Foods,https://www.crunchbase.com/organization/impossible-foods,Series F,500000000,USD,500000000,2020-03-16,Mirae Asset,3500000000,USD,3500000000,1896200000,USD,1896200000
Series C - Cloudbeds,https://www.crunchbase.com/funding_round/cloudbeds-series-c--7c242ca3,"Counterpart Ventures, Cultivation Capital, PeakSpan Capital, Recruit Holdings, Viking Global Investors",Cloudbeds,https://www.crunchbase.com/organization/cloudbeds,Series C,82000000,USD,82000000,2020-03-11,Viking Global Investors,,,,248440000,USD,248440000
Seed Round - Polaris Genomics,https://www.crunchbase.com/funding_round/polaris-genomics-830d-seed--9ad197c8,"Sanford Health, Viking Global Investors, Wing Venture Capital",Polaris Genomics,https://www.crunchbase.com/organization/polaris-genomics-830d,Seed,2000000,USD,2000000,2020-02-14,,10000000,USD,10000000,4800000,USD,4800000
Series D - Color,https://www.crunchbase.com/funding_round/color-genomics-series-d--0d8e289b,"T. Rowe Price, Viking Global Investors",Color,https://www.crunchbase.com/organization/color-genomics,Series D,75000000,USD,75000000,2020-01-14,"T. Rowe Price, Viking Global Investors",,,,482000000,USD,482000000
Series D - Iterable,https://www.crunchbase.com/funding_round/iterable-series-d--629e4734,"Blue Cloud Ventures, CRV, Harmony Partners, Index Ventures, Stereo Capital, Viking Global Investors",Iterable,https://www.crunchbase.com/organization/iterable,Series D,60000000,USD,60000000,2019-12-10,Viking Global Investors,475000000,USD,475000000,342200000,USD,342200000
Series C - Zentalis Pharmaceuticals,https://www.crunchbase.com/funding_round/zentalis-pharmaceuticals-series-c--3040c2b3,"Eventide, Matrix Capital, Perceptive Advisors, Redmile Group, Surveyor Capital, Viking Global Investors",Zentalis Pharmaceuticals,https://www.crunchbase.com/organization/zentalis-pharmaceuticals,Series C,85000000,USD,85000000,2019-12-09,,,,,896600000,USD,896600000
Series C - PMV Pharmaceuticals,https://www.crunchbase.com/funding_round/pmv-pharmaceutcals-inc-series-c--7f933540,"Boxer Capital, Euclidean Capital, InterWest Partners, Nextech Invest, OrbiMed, OUP (Osage University Partners), Topspin Partners, Viking Global Investors",PMV Pharmaceuticals,https://www.crunchbase.com/organization/pmv-pharmaceutcals-inc,Series C,62000000,USD,62000000,2019-11-13,Nextech Invest,,,,236000000,USD,236000000
Pre Seed Round - Algen Biotechnologies,https://www.crunchbase.com/funding_round/algen-biotechnologies-pre-seed--fa00d3ca,"Illumina Accelerator, Viking Global Investors",Algen Biotechnologies,https://www.crunchbase.com/organization/algen-biotechnologies,Pre-Seed,,,,2019-10-04,,,,,,,
Series E - Ginkgo Bioworks,https://www.crunchbase.com/funding_round/ginkgo-bioworks-series-e--7cc63188,"Cascade Investment, General Atlantic, T. Rowe Price, Viking Global Investors",Ginkgo Bioworks,https://www.crunchbase.com/organization/ginkgo-bioworks,Series E,290000000,USD,290000000,2019-09-19,,3910000000,USD,3910000000,1575403063,USD,1575403063
Series A - Motif,https://www.crunchbase.com/funding_round/motif-ingredients-series-a--03a67ac9,"Alumni Ventures, Anchorage Capital Group, Breakthrough Energy Ventures, CPT Capital, Fronterra Ventures, General Atlantic, Louis Dreyfus Company, Viking Global Investors",Motif,https://www.crunchbase.com/organization/motif-ingredients,Series A,27500000,USD,27500000,2019-08-15,"Alumni Ventures, General Atlantic",,,,343500000,USD,343500000
Seed Round - MedAnswers,https://www.crunchbase.com/funding_round/medanswers-seed--d16922ea,"Special Situations Life Sciences Innovation Fund, Viking Global Investors",MedAnswers,https://www.crunchbase.com/organization/medanswers,Seed,5000000,USD,5000000,2019-08-13,"Special Situations Life Sciences Innovation Fund, Viking Global Investors",,,,5145702,USD,5145702
Series G - Druva,https://www.crunchbase.com/funding_round/druva-software-series-g--167bba9f,"Atreides Capital, Neuberger Berman, Nexus Venture Partners, Riverwood Capital, Tenaya Capital, Viking Global Investors",Druva,https://www.crunchbase.com/organization/druva-software,Series G,130000000,USD,130000000,2019-06-19,Viking Global Investors,870000000,USD,870000000,475000000,USD,475000000
Series A - DermBiont,https://www.crunchbase.com/funding_round/dermbiont-series-a--bf91b382,"Alchimia Investments, Civilization Ventures, Mark De Souza, Start Capital, Toba Capital, Valia Ventures, Viking Global Investors, Zola Global Investors",DermBiont,https://www.crunchbase.com/organization/dermbiont,Series A,8000000,USD,8000000,2019-06-18,"Toba Capital, Viking Global Investors, Zola Global Investors",,,,108481329,USD,108481329
Series B - Viela Bio,https://www.crunchbase.com/funding_round/viela-bio-series-b--70e14be4,"Barer & Son Capital, Cormorant Asset Management, Goldman Sachs, HBM Healthcare Investments, Temasek Holdings, Terra Magnum Capital Partners, Viking Global Investors",Viela Bio,https://www.crunchbase.com/organization/viela-bio,Series B,75000000,USD,75000000,2019-06-18,HBM Healthcare Investments,,,,526253240,USD,526253240
Convertible Note - Inhibrx,https://www.crunchbase.com/funding_round/inhibrx-convertible-note--ab16d64d,"Alexandria, ArrowMark Partners, Lilly Asia Ventures, RA Capital Management, Viking Global Investors, WuXi Biologics",Inhibrx,https://www.crunchbase.com/organization/inhibrx,Convertible Note,40000000,USD,40000000,2019-05-21,Viking Global Investors,,,,269590000,USD,269590000
Series A - Astarte Medical,https://www.crunchbase.com/funding_round/astarte-medical-partners-series-a--44e787de,"Ben Franklin Technology Partners of Southeastern Pennsylvania, Keiretsu Capital, Keiretsu Forum Mid Atlantic, Next Act Fund, OCA Ventures, Viking Global Investors",Astarte Medical,https://www.crunchbase.com/organization/astarte-medical-partners,Series A,5000000,USD,5000000,2019-05-07,,,,,12600000,USD,12600000
Series E - Impossible Foods,https://www.crunchbase.com/funding_round/impossible-foods-series-e--e4e85527,"Ahmir Khalib Thompson, Alexis Ohanian, Anton Zaslavski, Asas Capital, Bill Gates, Bracket Capital, Ethos Family Office, G Squared, General Global Capital, Google Ventures, Horizons Ventures, Jaden Smith, Jay Brown, Julien Machot, K2 Global, Kal Penn, Katy Perry, Khosla Ventures, Kirk Cousins, Manhattan Venture Partners (MVP), Michael Arrieta, Microsoft, Next Play Capital, Open Philanthropy, Pario Ventures, Paul George, Philip Rosenthal, Raj Luhar, Ruby Rose Langenheim, Sailing Capital, Serena Ventures, Shane Neman, Shawn Carter, SMR3T Capital LLC, Temasek Holdings, Trevor Noah, UBS, VERSO Capital, Vika Ventures, Viking Global Investors, William Adams",Impossible Foods,https://www.crunchbase.com/organization/impossible-foods,Series E,300000000,USD,300000000,2019-05-01,"Horizons Ventures, Temasek Holdings",1700000000,USD,1700000000,1896200000,USD,1896200000
Series A - Checkerspot,https://www.crunchbase.com/funding_round/checkerspot-series-a--f644b6d6,"Breakout Ventures, Builders VC, Godfrey Capital, KdT Ventures, Plug and Play, Sahsen Ventures, Viking Global Investors",Checkerspot,https://www.crunchbase.com/organization/checkerspot,Series A,13000000,USD,13000000,2019-04-16,Builders VC,,,,109000000,USD,109000000
Series A - NextGen Jane,https://www.crunchbase.com/funding_round/nextgen-jane-series-a--2495b457,"Access Industries, Liminal Ventures, Material Impact, Viking Global Investors",NextGen Jane,https://www.crunchbase.com/organization/nextgen-jane,Series A,9000000,USD,9000000,2019-04-01,Material Impact,,,,19839244,USD,19839244
Convertible Note - Mediphage Bioceuticals,https://www.crunchbase.com/funding_round/mediphage-bioceuticals-convertible-note--95a75c98,"Viking Global Investors, Wing Venture Capital",Mediphage Bioceuticals,https://www.crunchbase.com/organization/mediphage-bioceuticals,Convertible Note,3500000,USD,3500000,2019-03-01,Viking Global Investors,,,,4146000,USD,4146000
Series D - BridgeBio,https://www.crunchbase.com/funding_round/bridgebio-series-d--45614bbf,"AIG Investments, Aisling Capital, Cormorant Capital, Hercules Capital, Kohlberg Kravis Roberts, Perceptive Advisors, Sequoia Capital, Viking Global Investors",BridgeBio,https://www.crunchbase.com/organization/bridgebio,Series D,299200000,USD,299200000,2019-01-23,"Kohlberg Kravis Roberts, Viking Global Investors",,,,3849200000,USD,3849200000
Series E - Auris Health,https://www.crunchbase.com/funding_round/auris-surgical-robotics-series-e--03b0bb0c,"D1 Capital Partners, E15 VC, Invus Opportunities, Lux Capital, Mithril Capital Management, Partner Fund Management, Senator Investment Group, Viking Global Investors, Wellington Management",Auris Health,https://www.crunchbase.com/organization/auris-surgical-robotics,Series E,220000000,USD,220000000,2018-11-28,Partner Fund Management,1780000000,USD,1780000000,733296837,USD,733296837
Private Equity Round - Roivant Sciences,https://www.crunchbase.com/funding_round/roivant-sciences-private-equity--fb72be6a,"Dexcel Pharma, Founders Fund, Novaquest Capital Management, QVT Financial, RTW Investments, SoftBank Vision Fund, Viking Global Investors",Roivant Sciences,https://www.crunchbase.com/organization/roivant-sciences,Private Equity,200000000,USD,200000000,2018-11-13,"Novaquest Capital Management, RTW Investments",6800000000,USD,6800000000,2473000000,USD,2473000000
Venture Round - Genomatica,https://www.crunchbase.com/funding_round/genomatica-series-unknown--d8f525e3,"Casdin Capital, Ginkgo Bioworks, Viking Global Investors",Genomatica,https://www.crunchbase.com/organization/genomatica,Venture - Series Unknown,90000000,USD,90000000,2018-10-03,Casdin Capital,,,,340252740,USD,340252740
Series B - Talkdesk,https://www.crunchbase.com/funding_round/talkdesk-series-b--e095f20e,"Threshold, Viking Global Investors",Talkdesk,https://www.crunchbase.com/organization/talkdesk,Series B,100000000,USD,100000000,2018-10-03,Viking Global Investors,900000000,USD,900000000,497450000,USD,497450000
Series B - 4D Molecular Therapeutics,https://www.crunchbase.com/funding_round/4d-molecular-therapeutics-series-b--31cc9107,"ArrowMark Partners, Berkeley Catalyst Fund (BCF), Biotechnology Value Fund, Chiesi Ventures, CureDuchenne Ventures, Janus Henderson Investors, Mirae Asset, Pappas Capital, Perceptive Advisors, Pfizer Venture Investments, Ridgeback Capital, Viking Global Investors",4D Molecular Therapeutics,https://www.crunchbase.com/organization/4d-molecular-therapeutics,Series B,90000000,USD,90000000,2018-09-05,Viking Global Investors,,,,594999995,USD,594999995
Series C - Apeel Sciences,https://www.crunchbase.com/funding_round/apeel-sciences-series-c--ccc6578f,"Andreessen Horowitz, S2G Ventures, Upfront Ventures, Viking Global Investors",Apeel Sciences,https://www.crunchbase.com/organization/apeel-sciences,Series C,70000000,USD,70000000,2018-07-31,Viking Global Investors,,,,719060564,USD,719060564
Seed Round - Checkerspot,https://www.crunchbase.com/funding_round/checkerspot-seed--36dee4d0,"Godfrey Capital, KdT Ventures, Refactor, Sahsen Ventures, Viking Global Investors",Checkerspot,https://www.crunchbase.com/organization/checkerspot,Seed,5000000,USD,5000000,2018-06-21,,,,,109000000,USD,109000000
Series B - Eidos Therapeutics,https://www.crunchbase.com/funding_round/eidos-therapeutics-series-b--747c49ff,"Aisling Capital, Amzak Health Investors, BridgeBio, Cormorant Asset Management, Janus Henderson, Perceptive Advisors, RA Capital Management, Viking Global Investors",Eidos Therapeutics,https://www.crunchbase.com/organization/eidos-therapeutics,Series B,64000000,USD,64000000,2018-04-05,RA Capital Management,,,,64000000,USD,64000000
Series A - Joyn Bio,https://www.crunchbase.com/funding_round/joyn-bio-series-a--6255bfd3,"Ginkgo Bioworks, Leaps by Bayer, Viking Global Investors",Joyn Bio,https://www.crunchbase.com/organization/joyn-bio,Series A,100000000,USD,100000000,2018-03-20,,,,,200000000,USD,200000000
Seed Round - Boost Biomes,https://www.crunchbase.com/funding_round/boost-biomes-seed--8f2f5f48,"Compound, Nimble Ventures, Tencent, Viking Global Investors",Boost Biomes,https://www.crunchbase.com/organization/boost-biomes,Seed,2050000,USD,2050000,2018-02-27,"Compound, Nimble Ventures, Viking Global Investors",,,,4200000,USD,4200000
Series E - PROCEPT BioRobotics,https://www.crunchbase.com/funding_round/procept-biorobotics-series-e--0309cbf1,"CPMG, Perceptive Advisors, Viking Global Investors",PROCEPT BioRobotics,https://www.crunchbase.com/organization/procept-biorobotics,Series E,118000000,USD,118000000,2018-02-20,Viking Global Investors,,,,645335250,USD,645335250
Series G - Moderna,https://www.crunchbase.com/funding_round/moderna-therapeutics-series-g--fa973379,"Abu Dhabi Investment Authority, Alexandria Venture Investments, ArrowMark Partners, BB Biotech Ventures, EDBI, Fidelity, HongShan, Julius Baer Group, Pictet Private Equity Investors S.A., Viking Global Investors",Moderna,https://www.crunchbase.com/organization/moderna-therapeutics,Series G,500000000,USD,500000000,2018-02-01,,6500000000,USD,6500000000,3907600000,USD,3907600000
