Transaction Name,Transaction Name URL,Investor Names,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Lead Investors,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD)
Post-IPO Equity - GeneDx,https://www.crunchbase.com/funding_round/sema4-post-ipo-equity--92850e85,"BlackRock, Casdin Capital, Counterpoint Global, Deerfield, Fidelity, Perceptive Advisors, SoftBank Capital, T. Rowe Price, Viking Global Investors",GeneDx,https://www.crunchbase.com/organization/sema4,Post-IPO Equity,350000000,USD,350000000,2021-07-23,,,,,941000000,USD,941000000
Series C - Amylyx Pharmaceuticals,https://www.crunchbase.com/funding_round/amylyx-pharmaceutical-series-c--786993cd,"683 CAPITAL, Alpha Wave Global, aMoon Fund, Bain Capital Life Sciences, Belinda Termeer, Marshall Wace, Morningside Venture Investments, Perceptive Advisors, Polaris Founders Capital, Rock Springs Capital, Tybourne Capital Management, Verition Fund Management, Viking Global Investors, Woodline Partners",Amylyx Pharmaceuticals,https://www.crunchbase.com/organization/amylyx-pharmaceutical,Series C,135000000,USD,135000000,2021-07-20,Viking Global Investors,,,,448451428,USD,448451428
Series F - Arctic Wolf,https://www.crunchbase.com/funding_round/arctic-wolf-networks-series-f--94a2ff5c,"Owl Rock Capital, TriplePoint Ventures, Viking Global Investors",Arctic Wolf,https://www.crunchbase.com/organization/arctic-wolf-networks,Series F,150000000,USD,150000000,2021-07-13,"Owl Rock Capital, Viking Global Investors",4150000000,USD,4150000000,899200000,USD,899200000
Series B - Antheia,https://www.crunchbase.com/funding_round/antheia-series-b--c650f540,"Hillspire, Irregular Expressions, Sherpalo Ventures, Viking Global Investors",Antheia,https://www.crunchbase.com/organization/antheia,Series B,73000000,USD,73000000,2021-06-30,Viking Global Investors,,,,152101699,USD,152101699
Series G - PROCEPT BioRobotics,https://www.crunchbase.com/funding_round/procept-biorobotics-series-g--020812e3,"CPMG, Duquesne Family Office, Fidelity, Perceptive Advisors, T. Rowe Price, Viking Global Investors",PROCEPT BioRobotics,https://www.crunchbase.com/organization/procept-biorobotics,Series G,85000000,USD,85000000,2021-06-30,Fidelity,,,,645335250,USD,645335250
Series C - RayzeBio,https://www.crunchbase.com/funding_round/rayzebio-series-c--85be16d4,"Acuta Capital Partners, Alexandria Venture Investments, Cormorant Asset Management, Deerfield, LifeSci Venture Partners, Logos Capital, OrbiMed, Perceptive Advisors, Redmile Group, Samsara BioCapital, TCG Crossover, venBio Partners, Venrock Healthcare Capital Partners, Versant Ventures, Viking Global Investors, Vivo Capital",RayzeBio,https://www.crunchbase.com/organization/rayzebio,Series C,108000000,USD,108000000,2021-06-15,Venrock Healthcare Capital Partners,,,,418000000,USD,418000000
Series E - Iterable,https://www.crunchbase.com/funding_round/iterable-series-e--1d4a952a,"645 Ventures, Adams Street Partners, Blue Cloud Ventures, Capital One Ventures, CRV, DTCP, Glynn Capital Management, Silver Lake, Viking Global Investors",Iterable,https://www.crunchbase.com/organization/iterable,Series E,200000000,USD,200000000,2021-06-15,,1800000000,USD,1800000000,342200000,USD,342200000
Series B - Motif,https://www.crunchbase.com/funding_round/motif-ingredients-series-b--bc2119c0,"Alpha Impact Investment Management Partners, BlackRock, Breakthrough Energy Ventures, CPT Capital, Energy Ventures, General Atlantic, Hippolyte Genet, Louis Dreyfus, Ontario Teachers' Pension Plan, Rage Capital, Rellevant Partners, Viking Global Investors, White Buffalo Capital, Wittington Ventures",Motif,https://www.crunchbase.com/organization/motif-ingredients,Series B,226000000,USD,226000000,2021-06-11,"BlackRock, Ontario Teachers' Pension Plan",500000000,USD,500000000,343500000,USD,343500000
Series D - Clip,https://www.crunchbase.com/funding_round/payclip-series-d--180d62ab,"SOFTBANK Latin America Ventures, Viking Global Investors",Clip,https://www.crunchbase.com/organization/payclip,Series D,250000000,USD,250000000,2021-06-10,"SOFTBANK Latin America Ventures, Viking Global Investors",1750000000,USD,1750000000,553680615,USD,553680615
Series B - Nuvalent,https://www.crunchbase.com/funding_round/nuvalent-series-b--0e4e0b1d,"Avoro Capital Advisors, Bain Capital Life Sciences, Boxer Capital, Deerfield, Driehaus Capital Management, Fairmount Funds Management, Fidelity, Janus Henderson Investors, Logos Capital, Venrock Healthcare Capital Partners, Viking Global Investors, Wellington Management",Nuvalent,https://www.crunchbase.com/organization/nuvalent,Series B,135000000,USD,135000000,2021-05-11,Bain Capital Life Sciences,,,,1324500000,USD,1324500000
Series H - Druva,https://www.crunchbase.com/funding_round/druva-software-series-h--01d2f237,"Atreides Management, BluePointe Ventures, Caisse de Depot et Placement du Quebec, Neuberger Berman, Viking Global Investors",Druva,https://www.crunchbase.com/organization/druva-software,Series H,147000000,USD,147000000,2021-04-19,Caisse de Depot et Placement du Quebec,1853000000,USD,1853000000,475000000,USD,475000000
Series A - Atlast Food,https://www.crunchbase.com/funding_round/atlast-food-series-a--b6130127,"40 North Ventures, Alpha Impact Investment Management Partners, FootPrint Coalition, Gary Hirshberg, Senator Investment Group, Stephen McDonnell, Stray Dog Capital, Viking Global Investors",Atlast Food,https://www.crunchbase.com/organization/atlast-food,Series A,40000000,USD,40000000,2021-04-15,Viking Global Investors,,,,47000000,USD,47000000
Series A - 1Health,https://www.crunchbase.com/funding_round/1health-series-a--86194aaf,Viking Global Investors,1Health,https://www.crunchbase.com/organization/1health,Series A,5870671,USD,5870671,2021-04-09,Viking Global Investors,53000000,USD,53000000,11331376,USD,11331376
